Topic,2013,2014,2015,2016
Job Search,0,1,1,1
Enterpreneurs,0,1,1,1
Android Developers Gurgaon,1,1,1,1
NoSQL,2,9,11,12
Professional Job Search,0,1,1,1
E-Business Owners,0,1,2,2
Delphi,0,1,1,1
Mobile Technology,7,27,32,32
Electronics Technology,0,0,1,1
Data Center and Operations Automation,0,5,6,6
Stream Processing,0,0,1,1
3D Projects,0,2,2,2
SAP Business Intelligence,0,0,1,1
Green Entrepreneurs,0,1,1,1
Docker,0,2,3,3
Lucene Solr Nutch Mahout and Open Source Search,1,1,2,2
Learn Python The Hard Way,0,1,1,1
IT Kanban,0,1,1,1
Health Professionals,0,0,0,1
Application Security,0,1,3,3
Open Data,0,2,2,2
Internet of Everything,0,0,1,2
Entrepreneurship,2,17,28,36
start a business,0,1,1,1
JavaScript Libraries,1,5,5,6
Virtual Currency,0,2,4,6
Concurrent Programming,0,1,1,1
Arduino Uno,0,1,1,1
Apache,0,0,1,1
Technology Startups,3,14,27,36
Open Stack,0,1,1,1
GIS,0,0,1,1
Cloud Foundry,0,1,3,3
Ethical Hacker,0,2,2,2
Getting Things Done,0,0,0,1
Dev Ops,0,2,2,2
Django,0,4,5,5
Incubator,1,1,1,1
Social Media Marketing,2,4,4,4
Project Management Professional Certification,0,1,1,1
BIG DATA-HADOOP,0,1,2,2
CG artists,0,1,1,1
HBase,1,2,2,2
Freelance Communication & Marketing Professionals,0,0,0,1
Game Development,0,1,2,2
HDFS,0,1,1,1
IT Infrastructure Architecture,0,0,0,1
Real Life uses of AWS and cloud servers,1,1,1,2
Data,0,0,1,1
Lean UX,0,0,0,1
Bitcoin Security,0,1,2,2
All things Telecom,0,1,1,1
Self Exploration,0,0,1,1
Bitcoin Miners,0,1,3,5
Scrum Practices,0,1,1,1
Go,0,2,2,2
Web Programming,0,1,1,1
Professional Development,0,0,1,1
Magento Meetups,0,0,1,1
Continuous Deployment,0,0,1,1
MarkLogic Server,0,1,1,1
Backbone.js,0,1,1,1
HTML 5/CSS3,0,1,1,1
Oracle Database Administration,0,0,0,2
Freelance Journalists,0,0,0,1
Scrum in real world,1,2,2,2
MySQL,0,6,6,8
Drupal Content Administrators,1,1,1,1
JVM Languages,0,2,2,2
Smart City,0,0,1,1
Travel Blogging,0,0,1,1
Master Data Management,0,1,1,1
Agile Marketing,0,0,1,1
Software Quality,0,3,3,3
mobile security,0,1,2,2
Virtual Freelancers,0,0,0,1
Salesforce.com Developers,2,3,4,4
Win64 Development,0,1,1,1
SQL Server,0,1,1,2
Microsoft Word,0,1,1,1
Generative Art,0,1,1,1
Win32 Development,0,1,1,1
Server Side Javascript,0,1,1,1
HTML,0,1,1,1
Pentaho,0,0,1,1
Ruby on Rails Testing,0,1,1,1
3d,0,3,3,3
Coders,0,1,2,3
Economics,0,0,0,1
Data Mapping,0,0,1,1
Artificial Intelligence Programming,0,1,1,1
Using Twitter for Business,1,1,1,1
Small Business,1,4,6,7
Agile Leadership,1,3,7,7
Service Design,0,1,1,1
NFV,0,1,1,1
Red Hat Enterprise Virtualization (RHEV),1,1,1,1
Smart Sensors,0,2,4,6
Networking for Marketing Professionals,0,1,1,1
Apache Sling,0,1,1,1
Social Networking,1,5,7,7
Project Management,1,2,3,3
Customer Relationship Management,1,1,1,1
3D Modeling,0,6,7,9
Cloud Computing,6,25,31,33
Time Management,0,0,0,1
Space Exploration,0,0,1,1
New Product Development: Software & Tech,0,2,2,4
Online Marketing For Small Business,0,0,1,1
Video Game Entrepreneurs,0,1,1,1
Geeks & Nerds,0,0,1,1
Technology,3,12,17,20
Anime,0,1,1,1
Environmental Mapping and GIS,0,0,1,1
Creating Amazon Cloud Applications,1,2,2,2
Software Asset Management Best Practices,0,1,1,1
Apache Hadoop,0,2,3,3
Product Marketing,0,0,0,1
Freelancer Networking,0,0,0,1
High Performance Computing,0,2,2,2
PHP Framework,0,2,2,2
Fashion Clothing and Manufacture for Profit,0,1,1,1
Value Added Vendors,0,1,1,1
Web Security,0,3,4,4
Xcode,0,0,1,1
UAV,0,0,1,1
Organic Search Engine Optimization,1,1,1,1
Network Engineering,0,1,1,1
Black Hat Hacking,0,0,0,1
Agile Portfolio Management,0,0,2,2
Agile Coaching,4,7,11,12
Code Camps,0,0,1,1
ReactJS,0,0,0,1
Atlassian,0,1,1,1
Logo Design,0,1,1,1
Automation,0,1,1,1
CUDA: Compute Unified Device Architecture,0,1,1,1
User Interface Design,0,1,2,2
Quality Assurance,1,5,6,6
AngularJS,1,4,6,8
Media,1,1,1,1
Solr,1,1,1,1
Twitter and its Usage in India,1,1,1,1
C++ Programming,0,0,1,1
Scala Programming,0,2,2,2
UI/UX,0,1,1,1
Distributed Programming in Java,1,1,1,1
Growth Hacking,0,0,1,2
Networking for Graphic Designers & Marketing Pros,0,3,3,3
Health Information Technology,0,0,0,1
HacksHackers,1,1,1,1
Java Server Side,1,2,2,2
Mobile security platform,0,0,1,1
Smart cities,0,1,1,1
Brainstorming Ideas,1,1,1,1
Mozilla,0,3,3,3
Developing Mobile Apps,0,0,2,2
Hacking,2,9,12,14
Create a Blog,0,0,1,1
Marketplace,0,1,1,1
Open Source,7,58,69,82
UX Design,1,6,7,8
Linux Networking,0,0,1,1
Meet your neighborhood Linux users.,0,0,1,1
Successful Startup Founders,0,1,1,1
Hardware Hacking and Reverse Engineering,0,1,2,3
Prototyping,0,2,2,3
Google Analytics,1,1,1,1
Network Virtualization,0,1,1,1
learn coding,0,1,1,1
cofounderslab,0,2,2,2
iOS Platform,0,0,1,1
IBM,0,2,2,2
Apache Storm,0,0,1,1
Assist in Creating YouTube Videos,0,1,1,1
Windows Phone,0,1,1,1
JavaScript,5,25,32,36
Small Business Owners,1,1,1,1
iPhone Business,1,1,1,1
bitcoin traders,0,1,2,3
Pair Programming,0,1,1,1
Self-Improvement,0,0,1,2
What is SAP HANA?,0,0,1,1
Salesforce implementation,0,1,2,2
Learning Joomla,0,1,3,3
Lean Startup,3,11,19,24
MySQL Cluster,0,1,1,2
Startup Pitching,0,1,4,6
DuckDuckGo,0,0,1,1
Firefox OS,0,2,2,2
Pig and Hadoop,1,4,4,4
Software Architecture,0,2,2,2
Cartoonists,0,1,1,1
CISSP,0,1,1,1
Lean Project Management,1,4,5,5
Google SEO,0,2,2,2
vlogging,0,1,1,1
Java Virtual Machine,1,2,2,2
AWS design implementation and servicing,1,2,2,3
Blogging,2,5,7,7
Scala Play Framework,0,1,1,1
Google Web Toolkit (GWT),0,0,1,1
Digital Marketing Professionals,0,2,2,2
C Programming Language,0,0,1,1
Makerspaces,1,8,13,16
Web Testing,0,0,1,1
Usability testing,0,1,1,1
Hive,1,4,4,4
Gradle,0,1,1,1
Scala Lift,0,1,1,1
Google Blogger Evangelist,0,1,1,1
Yii Framework,0,1,1,1
3D Artists,0,4,4,4
Hadoop Analytics,0,1,1,1
Business start up,0,2,2,2
Drupal Security,1,2,2,2
Geolocation,0,0,1,1
graphic novels,0,1,1,1
Android App Architecture,0,1,1,1
Parallel Programming,0,1,1,1
3d printers,0,2,3,4
Brand Design,0,1,1,1
Digital Marketing Strategy,0,1,1,1
Business Development,0,1,1,1
Machine Learning,2,11,13,14
Functional Programming in Python,0,1,1,1
Product Design,0,2,2,4
WordPress,1,4,6,6
Marketing,2,3,4,4
Android App Marketing,1,3,3,3
osgi,0,1,1,1
How to start a business,0,1,1,1
Fisheye,0,1,1,1
J2EE,0,3,4,4
IBM Bluemix,0,1,2,2
Search Engines,0,2,3,3
Emerging Technologies,1,1,1,1
Web development with ASP.NET MVC,0,1,1,1
entrepreneur matchmaking,0,2,2,2
Oracle Big Data Appliance,0,0,0,1
Testing Web Site Performance,0,1,1,1
Professional Networking,0,4,8,9
Programmers,0,2,2,2
Game Production,0,0,1,1
Freelance Content Writers,0,0,0,1
Oracle APEX Development,0,0,0,2
Network Architecture,0,1,1,1
YouTube Marketing,0,1,1,1
WordPress Users,0,0,1,1
GraphLab,0,0,0,1
SQL Server Integration Services,0,1,1,1
Agile Program Management,0,0,2,2
Women Who Code,0,1,1,1
BigDataDevelopers,0,1,1,1
R Users Group,1,2,2,2
eCommerce Marketing,0,1,1,1
Digital Media,1,4,4,4
open web,0,2,2,2
Scaled Agile Framework (SAFe),0,0,4,4
Python Web Development,0,3,4,4
Heroku,0,1,2,2
Rich Internet Applications,1,5,5,5
High Scalability Computing,1,9,10,11
Customer Experience,0,1,1,1
Web Application Security,1,2,4,4
Cloud Infrastructure,0,1,1,1
Deployment,0,1,1,1
Collaboration,0,0,0,1
Programming Resources,0,1,1,1
Agile programming and Python,1,1,1,1
Experience Design,0,1,1,1
Startup Businesses,2,11,20,26
Joomla,0,1,3,3
All Forms of JavaScript,1,4,4,4
iPhone,0,1,2,2
hackathon,0,3,5,6
Social,0,1,1,1
Embedded Systems Programming,0,3,5,5
Telecommunications Pros,0,1,1,1
SAP BW,0,0,1,1
Free Software Foundation,0,1,1,1
Digital Marketing through Emerging Technologies,0,1,1,1
Tech Talks,1,1,1,1
DBA,0,0,0,1
Smart Home,0,2,3,6
Internet Startup Idea Group,0,2,2,2
Drupal Mastering,1,3,3,3
Mobile Design,0,0,1,1
iPhone App Marketing,1,1,3,3
Console Gaming,0,0,1,1
Salesforce training,1,2,2,2
Browsers,0,2,2,2
Emerging Robotic Technologies,0,1,2,2
Interaction Design,1,8,9,10
Creative Problem Solving,0,1,1,1
Women Entrepreneurs,0,1,3,5
Knowledge Sharing,0,0,0,1
Referral Marketing,0,1,1,1
Usability and Standards,0,1,1,1
Opscode Chef,1,2,3,3
Web Design and Development,0,1,1,1
Software QA and Testing,2,7,8,8
"Technology (Security, Audits)",0,0,1,1
Apache Spark,0,1,4,4
Independent Game Development,0,1,2,2
Mobile Game Development,0,0,2,2
blog marketing,1,1,2,2
Agile Transformation,1,4,8,8
Natural Language Processing,0,1,1,1
Rapid Software Testing,0,0,1,1
Building private cloud with OpenStack,0,1,1,1
JQuery,2,6,8,9
Kanban,2,6,11,12
Web Design,3,34,41,43
Data Warehouses,0,0,1,1
Play Framework,0,1,1,1
HTML and CSS,0,2,2,2
Magento Developers,0,1,2,2
nodeJS,2,5,7,12
Internet Technology Professionals & Startups,0,1,1,1
Android Development Training,1,3,3,3
