Topic,2013,2014,2015,2016
Google Polymer,1,1,1,1
NoSQL,8,14,18,20
Active Learning,0,1,1,1
E-Business Owners,1,3,3,3
Freelance,0,1,1,1
Mobile Technology,6,20,27,31
Rails,0,0,1,1
Home DIY,0,1,1,1
Crowdsourcing,0,0,1,1
Office365,0,1,1,1
Stream Processing,0,0,0,2
Travel Blogging,0,0,1,1
PMP Certification,0,1,1,1
Hacking,1,3,3,4
Software Best Practises,0,1,1,1
Personal Development,0,2,2,2
Kubernetes,0,0,2,2
Open Data,1,1,1,1
Selenium Software,0,1,1,1
Liferay Integration,0,1,1,1
Entrepreneurship,4,12,17,17
Apache Pig,1,1,1,1
eLearning,0,1,1,1
Real-Time Internet,0,0,1,1
Apache,2,2,4,4
Microstrategy,0,1,1,1
Technology Startups,4,8,17,19
Nature Photography,0,0,1,1
PaaS: Platform as a Service,0,0,0,1
How to implement SAP HANA?,0,1,2,2
Ethical Hacker,0,2,2,2
computer networking,0,1,1,1
Apple iPhone and iPad,0,1,1,1
Graphs,0,0,1,1
Social Media Marketing,3,6,7,7
Digital Media,0,1,1,1
Project Management Professional Certification,0,1,1,1
BIG DATA-HADOOP,0,1,1,1
Personal robots,0,1,1,1
HBase,2,3,4,4
Electronics Technology,0,0,1,1
Akka,0,1,1,1
HDFS,1,1,1,1
Real Life uses of AWS and cloud servers,1,1,2,2
Flash Builder,0,1,1,1
Social Equality,0,1,1,1
SharePoint Technologies,0,1,1,1
Semantic Technologies,2,2,2,2
Scrum Practices,0,0,0,1
Go,0,1,1,1
Web Programming,0,1,1,1
Salesforce.com Integration,0,2,2,2
PMP Application,0,1,1,1
Continuous Deployment,0,1,1,1
Backbone.js,0,1,2,2
Game Design,0,1,1,1
PMP Training,0,1,1,1
Scrum in real world,0,0,1,2
Innovation,0,2,2,3
Tableau,0,1,1,1
Joomla! Template Design,0,1,1,1
Ruby on Rails Amazon Web Services,0,0,1,1
F# Programming,0,0,1,1
Vertica,1,1,1,1
Master Data Management,0,1,1,1
Software Quality,0,2,3,3
Collaboration between Creative Minds,0,1,1,1
Salesforce.com Developers,1,3,3,3
SQL Server,0,2,2,2
Seed Funding,0,0,1,1
SAP Business One,0,1,1,1
Server Side Javascript,0,2,2,2
Drupal Modules,0,1,1,1
HTML,0,1,2,2
Social Enterprise,0,1,1,1
Traditional Animation,0,1,1,1
Cofounders,0,0,1,1
Study Group,0,1,1,2
Artificial Intelligence Programming,0,1,1,1
Agile Leadership,0,1,2,4
Google Analytics,0,1,1,1
Film and Video Production,0,1,2,2
NFV,0,0,1,1
Smart Sensors,0,1,2,4
Firmware Development,0,1,1,1
Azure,0,1,1,1
Startup Financing,0,0,1,1
Social Networking,2,5,7,7
Rust,0,1,1,1
Product & Service Innovation,0,1,1,1
Customer Relationship Management,0,0,1,1
Foodie,0,1,1,1
Fundraising,1,1,1,1
PMI Standards,0,1,1,1
3D Modeling,0,2,2,3
Cloud Computing,8,23,35,38
Amateur and Ham Radio,0,1,1,1
Chart Analysis,0,1,1,1
New Product Development: Software & Tech,0,0,1,2
Learn Wordpress,0,1,1,1
ClickBank,1,1,1,1
