Topic,2013,2014,2015,2016
Enterpreneurs,0,1,0,0
Cloud Deployment,0,0,1,0
Healthcare Professionals,0,0,1,0
NoSQL,3,4,2,1
E-Business Owners,2,0,1,0
Freelance,0,1,1,0
Mobile Technology,4,16,7,1
Hacking,1,3,1,0
Lucene Solr Nutch Mahout and Open Source Search,0,0,1,0
Health Professionals,0,0,1,0
Application Security,0,0,1,0
Open Data,0,1,0,0
Responsive Web Design,0,0,1,0
Entrepreneurship,2,14,10,2
CCSP Cisco Certified Security Professional,0,1,0,0
Email Marketing 2.0,0,0,1,0
JavaScript Libraries,1,1,1,0
Virtual Currency,1,1,1,0
Create a Blog,0,1,0,0
Energy,0,0,1,0
Technology Startups,4,8,11,4
BizSpark,0,0,1,0
Laser Cutting,0,0,0,1
Ethical Hacker,0,1,1,0
computer networking,0,1,0,0
Yii Framework,0,1,0,0
User Research,0,3,0,0
Social Media Marketing,2,3,2,0
BIG DATA-HADOOP,0,1,0,0
CG artists,0,1,0,0
HBase,1,0,0,0
Linux Server,0,1,0,0
Currency Trading,0,0,1,0
Game Development,0,0,1,1
Cybersecurity,0,0,1,0
Enterprise Resource Planning,0,1,0,0
Transhumanism,0,0,0,1
Semantic Technologies,1,0,0,0
Electronic Speed Controllers,0,1,0,0
Bitcoin Miners,1,1,1,0
Scrum Practices,0,0,0,1
Go,0,1,0,0
Web Programming,0,1,0,0
Salesforce.com Integration,1,0,0,0
Unmanned Vehicles,0,2,0,0
Backbone.js,1,1,0,0
Deep Reinforcement Learning,0,0,0,1
Oracle Database Administration,0,0,0,1
MySQL,0,5,0,1
JVM Languages,0,1,0,0
Joomla! Template Design,0,1,0,0
Bitcoin business model,1,0,1,0
Software Quality,1,1,1,0
"Network Marketing, Online Advertising",0,1,0,0
early stage companies in india looking for capital,1,0,0,0
Salesforce.com Developers,1,0,0,0
SQL Server,0,2,0,0
Stanford Machine Learning Course CS 229,0,0,1,0
Interior Design,0,1,0,0
M2M,0,4,0,0
HTML,0,0,1,0
Machine Intelligence,0,0,2,0
3d,0,1,0,0
Coders,0,0,0,1
Product Development,0,1,0,0
Big Data for social media,0,1,2,0
Service Design,0,1,0,0
Smart Sensors,0,3,1,0
Azure,0,0,0,1
Social Networking,3,1,2,0
Customer Relationship Management,0,1,0,0
Advanced Manufacturing & Engineering,0,1,0,0
3D Modeling,0,4,0,0
Cloud Computing,5,12,7,4
Mumbai Drupal Users,1,0,0,0
Technical Certification,0,1,0,0
New Product Development: Software & Tech,0,0,1,0
Learn Wordpress,1,0,0,0
Technology,5,8,5,0
Quantified Self,1,0,0,0
Medical Device Technology,1,0,0,0
WooCommerce,0,0,1,1
VHDL,0,1,0,0
RC Models,0,1,0,0
eMail & eCommerce Marketing,0,0,1,0
Getting started with Python,0,1,0,0
PHP Framework,0,4,0,0
Big Data Ingestion,0,0,0,2
Web Security,0,2,1,0
Video Game Development,0,0,1,0
Wireless Sensor Networks,0,1,0,0
Organic Search Engine Optimization,0,1,0,0
Apache Spark,0,0,1,2
Customer Experience Surveys,0,1,0,0
Agile Coaching,0,1,2,2
ReactJS,0,0,1,0
WordPress Workshops,0,1,0,0
Automation,0,0,1,0
User Interface Design,0,3,1,0
Quality Assurance,1,1,1,0
AngularJS,1,3,0,0
Email Deliverability,0,0,1,0
Business Applications and the Cloud,0,0,1,0
Computer Technology,0,1,0,0
Scala Programming,0,1,0,0
JavaScript,3,8,6,1
Concurrent Programming,0,0,1,0
Networking for Graphic Designers & Marketing Pros,0,1,0,0
Health Information Technology,0,0,1,0
Group Study,0,1,0,0
Blender 3D,0,1,0,0
Smart cities,0,1,0,0
change the World,0,1,0,0
Cisco Systems,0,1,0,0
WordPress SEO,1,1,2,0
Apple Software,0,1,0,0
Docker,0,2,1,0
Semiconductor,0,1,0,0
Open Source,6,17,13,6
UX Design,0,5,1,0
Linux Networking,0,1,0,0
Healthcare Solutions,0,0,1,0
Successful Startup Founders,0,2,1,0
Prototyping,1,1,0,0
Neo4j,2,0,0,0
cofounderslab,0,1,0,0
iOS Platform,0,1,0,0
IBM,1,0,2,0
Science,0,0,0,1
Game Programming,0,0,1,0
Intellectual Discussion,0,0,1,0
Windows Phone,1,0,0,0
UI/UX,0,2,0,0
bitcoin traders,1,1,1,0
Disaster recovery,0,0,1,0
Statistical Modeling,0,1,1,0
User Centered Design,0,1,0,0
Learning Joomla,0,1,0,0
Lean Startup,0,4,4,1
Decentralization,0,0,1,0
Cloud applications,0,0,1,0
Startup Pitching,0,2,2,0
DuckDuckGo,0,0,1,0
Marketing,0,1,1,0
React Native,0,0,1,0
Software Configuration Management,0,1,0,0
RC Cars,0,1,0,0
Artificial Intelligence Applications,0,0,2,2
Google SEO,0,2,0,0
Spark,0,0,1,0
AWS design implementation and servicing,0,1,0,0
Blogging,0,3,2,0
Scala Play Framework,0,1,0,0
Apache Kafka,0,0,0,2
Digital Marketing Professionals,0,1,0,0
"Women ""StartUp"" Entrepreneurs",0,1,1,0
Makerspaces,2,3,1,1
Usability testing,0,1,0,0
VR Glasses,0,0,0,1
Smartphone,0,1,0,0
Blackberry,0,1,0,0
3D Artists,0,1,0,0
Entreprenuers,0,1,0,0
Cognos,0,0,1,0
Python,0,3,3,2
Apple,0,1,0,0
Meeting People that Make a Difference,0,1,0,0
Digital Marketing Strategy,0,2,0,0
Community,0,1,0,0
Machine Learning,1,8,8,3
Functional Programming in Python,0,1,0,0
IT Professionals,0,5,0,0
WordPress,1,2,3,1
Linux,1,5,2,0
Platform Evangelism,0,0,1,0
Mobile App,0,0,1,0
Learn SEO Basics,0,2,0,0
Blender,0,1,0,0
J2EE,0,1,0,0
CISSP,0,1,0,0
