Topic,2013,2014,2015,2016
Job Search,0,0,1,1
Arduino and Robotics,1,2,2,2
NoSQL,4,9,15,17
Language Translations,0,0,0,1
Windows 8 Development,0,1,1,1
Education technology start-ups,0,0,1,1
Mobile Technology,3,14,19,20
Rails,0,1,1,1
Electronics Technology,0,1,1,1
Travel Blogging,0,2,2,2
RepRap,0,1,1,1
Hacking,2,8,9,9
Learn Python The Hard Way,1,1,1,1
IT Kanban,0,0,0,1
GemFire,0,1,2,2
Application Security,0,1,1,1
Open Data,0,1,2,2
Selenium Software,1,1,1,2
Red Hat JBoss Middleware,0,0,1,1
Entrepreneurship,3,13,19,21
Information Governance,0,0,0,1
JavaScript Libraries,0,0,2,2
Self Exploration,0,1,2,2
Growth Hacking,1,1,2,2
E-Business Owners,0,2,2,2
Apache,0,1,1,2
Technology Startups,1,5,10,11
Raspbian,0,0,1,1
Open Source Cloud,1,1,1,1
Personal Kanban,0,0,0,1
Women's Empowerment,0,2,2,2
Drupal 7,0,0,1,1
Motion and Graphic Design,0,1,1,1
Ethical Hacker,1,2,2,2
computer networking,1,2,3,3
Capacity Management,0,1,1,1
User Research,0,2,3,3
Interface,0,1,1,1
Social Media Marketing,1,2,2,2
Windows 8,0,1,1,1
BIG DATA-HADOOP,0,2,4,4
HBase,3,3,3,3
Linux Server,0,1,2,2
Game Programming,0,3,4,4
HDFS,0,0,0,1
Service Bus,0,0,0,1
Enterprise Resource Planning,0,1,1,1
Bitcoin Security,0,1,1,1
Red Hat Identity Management,0,0,1,1
C#.NET,0,1,1,1
Cybersecurity,0,2,3,3
Unity 3D Developers,0,1,1,1
Spring Framework,0,1,1,2
Bitcoin Miners,0,2,2,2
Scrum Practices,1,3,4,4
Go,0,1,1,1
Web Programming,0,1,1,1
Windows Phone 8 Development,0,1,1,1
Continuous Deployment,1,1,1,1
Backbone.js,1,1,1,1
Oracle Database Administration,0,0,0,1
Scrum in real world,1,3,3,3
Innovation,0,4,4,4
JVM Languages,1,1,2,2
Joomla! Template Design,0,1,1,1
Ruby on Rails Amazon Web Services,0,1,1,1
F# Programming,0,0,0,1
Tableau Software,0,0,1,1
Enterprise Servers,0,0,1,1
Bitcoin business model,0,1,1,1
Software Quality,1,4,5,7
Salesforce.com Developers,2,2,2,2
SQL Server,0,2,2,2
Rail Trails,0,1,1,1
Windows 8 Metro App Development,0,1,1,1
M2M,0,1,3,3
HTML,0,1,1,1
Application Performance Management,1,2,2,2
Cross Platform Development,0,0,1,1
Ruby on Rails Testing,0,1,1,1
Microsoft Azure,0,2,3,3
FSharp,0,0,0,1
R Project for Statistical Computing,0,0,1,2
Product Development,0,3,3,3
Quality Management,0,1,1,1
Agile Leadership,1,4,9,11
Service Design,0,1,1,1
Film and Video Production,0,0,1,1
Red Hat Enterprise Virtualization (RHEV),0,0,1,1
Smart Sensors,1,3,5,5
Azure,0,2,3,4
