Topic,2010,2011,2012,2013,2014,2015,2016
Enterpreneurs,0,0,0,0,1,1,1
Cloud Deployment,0,0,0,0,0,1,1
Healthcare Professionals,0,0,0,0,0,1,1
NoSQL,0,0,0,3,7,9,10
E-Business Owners,1,1,2,2,2,3,3
Freelance,0,0,0,0,1,2,2
Mobile Technology,0,1,1,4,20,27,28
Hacking,0,0,0,1,4,5,5
Lucene Solr Nutch Mahout and Open Source Search,0,0,0,0,0,1,1
Health Professionals,0,0,0,0,0,1,1
Application Security,0,0,0,0,0,1,1
Open Data,0,0,0,0,1,1,1
Responsive Web Design,0,0,0,0,0,1,1
Entrepreneurship,1,1,2,2,16,26,28
CCSP Cisco Certified Security Professional,0,0,0,0,1,1,1
Email Marketing 2.0,0,0,0,0,0,1,1
JavaScript Libraries,0,0,0,1,2,3,3
Virtual Currency,0,0,0,1,2,3,3
Create a Blog,0,0,0,0,1,1,1
Energy,0,0,0,0,0,1,1
Technology Startups,0,0,1,4,12,23,27
BizSpark,0,0,0,0,0,1,1
Laser Cutting,0,0,0,0,0,0,1
Ethical Hacker,0,0,0,0,1,2,2
computer networking,0,0,0,0,1,1,1
Yii Framework,0,0,0,0,1,1,1
User Research,0,0,0,0,3,3,3
Social Media Marketing,1,1,2,2,5,7,7
BIG DATA-HADOOP,0,0,0,0,1,1,1
CG artists,0,0,0,0,1,1,1
HBase,0,0,1,1,1,1,1
Linux Server,0,0,0,0,1,1,1
Currency Trading,0,0,0,0,0,1,1
Game Development,0,0,0,0,0,1,2
Cybersecurity,0,0,0,0,0,1,1
Enterprise Resource Planning,0,0,0,0,1,1,1
Transhumanism,0,0,0,0,0,0,1
Semantic Technologies,0,0,0,1,1,1,1
Electronic Speed Controllers,0,0,0,0,1,1,1
Bitcoin Miners,0,0,0,1,2,3,3
Scrum Practices,0,0,0,0,0,0,1
Go,0,0,0,0,1,1,1
Web Programming,0,0,0,0,1,1,1
Salesforce.com Integration,0,0,1,1,1,1,1
Unmanned Vehicles,0,0,0,0,2,2,2
Backbone.js,0,0,0,1,2,2,2
Deep Reinforcement Learning,0,0,0,0,0,0,1
Oracle Database Administration,0,0,0,0,0,0,1
MySQL,0,0,0,0,5,5,6
JVM Languages,0,0,0,0,1,1,1
Joomla! Template Design,0,0,0,0,1,1,1
Bitcoin business model,0,0,0,1,1,2,2
Software Quality,0,0,0,1,2,3,3
"Network Marketing, Online Advertising",0,0,0,0,1,1,1
early stage companies in india looking for capital,0,0,1,1,1,1,1
Salesforce.com Developers,0,0,1,1,1,1,1
SQL Server,0,0,0,0,2,2,2
Stanford Machine Learning Course CS 229,0,0,0,0,0,1,1
Interior Design,0,0,0,0,1,1,1
M2M,0,0,0,0,4,4,4
HTML,0,0,0,0,0,1,1
Machine Intelligence,0,0,0,0,0,2,2
3d,0,0,0,0,1,1,1
Coders,0,0,0,0,0,0,1
Product Development,0,0,0,0,1,1,1
Big Data for social media,0,0,0,0,1,3,3
Service Design,0,0,0,0,1,1,1
Smart Sensors,0,0,0,0,3,4,4
Azure,0,0,0,0,0,0,1
Social Networking,1,2,3,3,4,6,6
Customer Relationship Management,0,0,0,0,1,1,1
Advanced Manufacturing & Engineering,0,0,0,0,1,1,1
3D Modeling,0,0,0,0,4,4,4
Cloud Computing,0,0,3,5,17,24,28
Mumbai Drupal Users,0,1,1,1,1,1,1
Technical Certification,0,0,0,0,1,1,1
New Product Development: Software & Tech,0,0,0,0,0,1,1
Learn Wordpress,0,0,0,1,1,1,1
Technology,0,2,2,5,13,18,18
Quantified Self,0,0,0,1,1,1,1
Medical Device Technology,0,0,0,1,1,1,1
WooCommerce,0,0,0,0,0,1,2
VHDL,0,0,0,0,1,1,1
RC Models,0,0,0,0,1,1,1
eMail & eCommerce Marketing,0,0,0,0,0,1,1
Getting started with Python,0,0,0,0,1,1,1
PHP Framework,0,0,0,0,4,4,4
Big Data Ingestion,0,0,0,0,0,0,2
Web Security,0,0,0,0,2,3,3
Video Game Development,0,0,0,0,0,1,1
Wireless Sensor Networks,0,0,0,0,1,1,1
Organic Search Engine Optimization,0,0,0,0,1,1,1
Apache Spark,0,0,0,0,0,1,3
Customer Experience Surveys,0,0,0,0,1,1,1
Agile Coaching,0,0,0,0,1,3,5
ReactJS,0,0,0,0,0,1,1
WordPress Workshops,0,0,0,0,1,1,1
Automation,0,0,0,0,0,1,1
User Interface Design,0,0,0,0,3,4,4
Quality Assurance,0,0,0,1,2,3,3
AngularJS,0,0,0,1,4,4,4
Email Deliverability,0,0,0,0,0,1,1
Business Applications and the Cloud,0,0,0,0,0,1,1
Computer Technology,0,0,0,0,1,1,1
Scala Programming,0,0,0,0,1,1,1
JavaScript,0,0,0,3,11,17,18
Concurrent Programming,0,0,0,0,0,1,1
Networking for Graphic Designers & Marketing Pros,0,0,0,0,1,1,1
Health Information Technology,0,0,0,0,0,1,1
Group Study,0,0,0,0,1,1,1
