Topic,2010,2011,2012,2013,2014,2015,2016
Job Search,0,0,0,0,0,1,1
Arduino and Robotics,0,0,0,1,2,2,2
NoSQL,0,0,2,4,9,15,17
Language Translations,0,0,0,0,0,0,1
Windows 8 Development,0,0,0,0,1,1,1
Education technology start-ups,0,0,0,0,0,1,1
Mobile Technology,0,1,2,3,14,19,20
Rails,0,0,0,0,1,1,1
Electronics Technology,0,0,0,0,1,1,1
Travel Blogging,0,0,0,0,2,2,2
RepRap,0,0,0,0,1,1,1
Hacking,0,0,0,2,8,9,9
Learn Python The Hard Way,0,0,0,1,1,1,1
IT Kanban,0,0,0,0,0,0,1
GemFire,0,0,0,0,1,2,2
Application Security,0,0,0,0,1,1,1
Open Data,0,0,0,0,1,2,2
Selenium Software,0,0,0,1,1,1,2
Red Hat JBoss Middleware,0,0,0,0,0,1,1
Entrepreneurship,2,2,2,3,13,19,21
Information Governance,0,0,0,0,0,0,1
JavaScript Libraries,0,0,0,0,0,2,2
Self Exploration,0,0,0,0,1,2,2
Growth Hacking,0,0,0,1,1,2,2
E-Business Owners,0,0,0,0,2,2,2
Apache,0,0,0,0,1,1,2
Technology Startups,0,0,0,1,5,10,11
Raspbian,0,0,0,0,0,1,1
Open Source Cloud,0,0,0,1,1,1,1
Personal Kanban,0,0,0,0,0,0,1
Women's Empowerment,0,0,0,0,2,2,2
Drupal 7,0,0,0,0,0,1,1
Motion and Graphic Design,0,0,0,0,1,1,1
Ethical Hacker,0,0,0,1,2,2,2
computer networking,0,0,0,1,2,3,3
Capacity Management,0,0,0,0,1,1,1
User Research,0,0,0,0,2,3,3
Interface,0,0,0,0,1,1,1
Social Media Marketing,1,1,1,1,2,2,2
Windows 8,0,0,0,0,1,1,1
BIG DATA-HADOOP,0,0,0,0,2,4,4
HBase,0,0,2,3,3,3,3
Linux Server,0,0,0,0,1,2,2
Game Programming,0,0,0,0,3,4,4
HDFS,0,0,0,0,0,0,1
Service Bus,0,0,0,0,0,0,1
Enterprise Resource Planning,0,0,0,0,1,1,1
Bitcoin Security,0,0,0,0,1,1,1
Red Hat Identity Management,0,0,0,0,0,1,1
C#.NET,0,0,0,0,1,1,1
Cybersecurity,0,0,0,0,2,3,3
Unity 3D Developers,0,0,0,0,1,1,1
Spring Framework,0,0,0,0,1,1,2
Bitcoin Miners,0,0,0,0,2,2,2
Scrum Practices,0,0,0,1,3,4,4
Go,0,0,0,0,1,1,1
Web Programming,0,0,0,0,1,1,1
Windows Phone 8 Development,0,0,0,0,1,1,1
Continuous Deployment,0,0,0,1,1,1,1
Backbone.js,0,1,1,1,1,1,1
Oracle Database Administration,0,0,0,0,0,0,1
Scrum in real world,0,0,0,1,3,3,3
Innovation,0,0,0,0,4,4,4
JVM Languages,0,0,1,1,1,2,2
Joomla! Template Design,0,0,0,0,1,1,1
Ruby on Rails Amazon Web Services,0,0,0,0,1,1,1
F# Programming,0,0,0,0,0,0,1
Tableau Software,0,0,0,0,0,1,1
Enterprise Servers,0,0,0,0,0,1,1
Bitcoin business model,0,0,0,0,1,1,1
Software Quality,1,1,1,1,4,5,7
Salesforce.com Developers,0,0,2,2,2,2,2
SQL Server,0,0,0,0,2,2,2
Rail Trails,0,0,0,0,1,1,1
Windows 8 Metro App Development,0,0,0,0,1,1,1
M2M,0,0,0,0,1,3,3
HTML,0,0,0,0,1,1,1
Application Performance Management,0,0,1,1,2,2,2
Cross Platform Development,0,0,0,0,0,1,1
Ruby on Rails Testing,0,0,0,0,1,1,1
Microsoft Azure,0,0,0,0,2,3,3
FSharp,0,0,0,0,0,0,1
R Project for Statistical Computing,0,0,0,0,0,1,2
Product Development,0,0,0,0,3,3,3
Quality Management,0,0,0,0,1,1,1
Agile Leadership,0,0,0,1,4,9,11
Service Design,0,0,0,0,1,1,1
Film and Video Production,0,0,0,0,0,1,1
Red Hat Enterprise Virtualization (RHEV),0,0,0,0,0,1,1
Smart Sensors,0,0,0,1,3,5,5
Azure,0,0,0,0,2,3,4
oracle database administrator,0,0,0,0,1,1,1
Social Networking,2,2,2,2,3,3,3
Microsoft SharePoint Technology,0,0,0,0,0,1,1
Rust,0,0,0,0,1,1,1
3D Modeling,0,0,0,0,2,2,2
Cloud Computing,1,2,8,13,25,37,43
Photo Editing,0,0,0,0,0,0,1
New Product Development: Software & Tech,0,0,0,0,3,4,4
Geeks & Nerds,0,0,0,0,0,2,2
Technology,1,1,1,1,3,7,8
CCIE Routing & Switching,0,0,0,0,0,1,1
Creating Amazon Cloud Applications,0,0,1,1,1,2,2
Social Impact,0,0,0,0,0,1,1
Mono,0,0,0,0,0,1,1
Apache Hadoop,0,0,1,1,2,2,2
Product Marketing,0,0,0,0,1,2,2
Sencha,0,0,0,0,1,1,1
Getting started with Python,0,0,0,1,2,2,2
Search Engine Marketing,0,0,0,0,2,2,2
Apache Geode,0,0,0,0,0,1,1
Big Data Ingestion,0,0,0,0,0,1,2
Web Security,0,0,0,1,4,5,6
Video Game Development,0,0,0,0,0,1,1
Wireless Sensor Networks,0,0,0,0,0,1,1
Web of things,0,0,0,0,0,1,1
Organic Search Engine Optimization,0,0,0,0,1,1,1
JSF,0,0,0,0,2,2,2
Social Sector,0,0,0,0,0,1,1
