Topic,2010,2011,2012,2013,2014,2015,2016
Job Search,0,0,0,0,1,0,0
Enterpreneurs,0,0,0,0,1,0,0
Android Developers Gurgaon,0,0,1,0,0,0,0
NoSQL,0,0,1,1,7,2,1
Professional Job Search,0,0,0,0,1,0,0
E-Business Owners,0,0,0,0,1,1,0
Delphi,0,0,0,0,1,0,0
Mobile Technology,0,0,5,2,20,5,0
Electronics Technology,0,0,0,0,0,1,0
Data Center and Operations Automation,0,0,0,0,5,1,0
Stream Processing,0,0,0,0,0,1,0
3D Projects,0,0,0,0,2,0,0
SAP Business Intelligence,0,0,0,0,0,1,0
Green Entrepreneurs,0,0,0,0,1,0,0
Docker,0,0,0,0,2,1,0
Lucene Solr Nutch Mahout and Open Source Search,0,0,0,1,0,1,0
Learn Python The Hard Way,0,0,0,0,1,0,0
IT Kanban,0,0,0,0,1,0,0
Health Professionals,0,0,0,0,0,0,1
Application Security,0,0,0,0,1,2,0
Open Data,0,0,0,0,2,0,0
Internet of Everything,0,0,0,0,0,1,1
Entrepreneurship,1,0,0,1,15,11,8
start a business,0,0,0,0,1,0,0
JavaScript Libraries,0,0,1,0,4,0,1
Virtual Currency,0,0,0,0,2,2,2
Concurrent Programming,0,0,0,0,1,0,0
Arduino Uno,0,0,0,0,1,0,0
Apache,0,0,0,0,0,1,0
Technology Startups,0,0,0,3,11,13,10
Open Stack,0,0,0,0,1,0,0
GIS,0,0,0,0,0,1,0
Cloud Foundry,0,0,0,0,1,2,0
Ethical Hacker,0,0,0,0,2,0,0
Getting Things Done,0,0,0,0,0,0,1
Dev Ops,0,0,0,0,2,0,0
Django,0,0,0,0,4,1,0
Incubator,0,0,0,1,0,0,0
Social Media Marketing,0,0,0,2,2,0,0
Project Management Professional Certification,0,0,0,0,1,0,0
BIG DATA-HADOOP,0,0,0,0,1,1,0
CG artists,0,0,0,0,1,0,0
HBase,0,0,1,0,1,0,0
Freelance Communication & Marketing Professionals,0,0,0,0,0,0,1
Game Development,0,0,0,0,1,1,0
HDFS,0,0,0,0,1,0,0
IT Infrastructure Architecture,0,0,0,0,0,0,1
Real Life uses of AWS and cloud servers,0,0,0,1,0,0,1
Data,0,0,0,0,0,1,0
Lean UX,0,0,0,0,0,0,1
Bitcoin Security,0,0,0,0,1,1,0
All things Telecom,0,0,0,0,1,0,0
Self Exploration,0,0,0,0,0,1,0
Bitcoin Miners,0,0,0,0,1,2,2
Scrum Practices,0,0,0,0,1,0,0
Go,0,0,0,0,2,0,0
Web Programming,0,0,0,0,1,0,0
Professional Development,0,0,0,0,0,1,1
Magento Meetups,0,0,0,0,0,1,0
Continuous Deployment,0,0,0,0,0,1,0
MarkLogic Server,0,0,0,0,1,0,0
Backbone.js,0,0,0,0,1,0,0
HTML 5/CSS3,0,0,0,0,1,0,0
