Topic,2010,2011,2012,2013,2014,2015,2016
Enterpreneurs,0,0,0,0,1,0,0
Cloud Deployment,0,0,0,0,0,1,0
Healthcare Professionals,0,0,0,0,0,1,0
NoSQL,0,0,0,3,4,2,1
E-Business Owners,1,0,1,0,0,1,0
Freelance,0,0,0,0,1,1,0
Mobile Technology,0,1,0,3,16,7,1
Hacking,0,0,0,1,3,1,0
Lucene Solr Nutch Mahout and Open Source Search,0,0,0,0,0,1,0
Health Professionals,0,0,0,0,0,1,0
Application Security,0,0,0,0,0,1,0
Open Data,0,0,0,0,1,0,0
Responsive Web Design,0,0,0,0,0,1,0
Entrepreneurship,1,0,1,0,14,10,2
CCSP Cisco Certified Security Professional,0,0,0,0,1,0,0
Email Marketing 2.0,0,0,0,0,0,1,0
JavaScript Libraries,0,0,0,1,1,1,0
Virtual Currency,0,0,0,1,1,1,0
Create a Blog,0,0,0,0,1,0,0
Energy,0,0,0,0,0,1,0
Technology Startups,0,0,1,3,8,11,4
BizSpark,0,0,0,0,0,1,0
Laser Cutting,0,0,0,0,0,0,1
Ethical Hacker,0,0,0,0,1,1,0
computer networking,0,0,0,0,1,0,0
Yii Framework,0,0,0,0,1,0,0
User Research,0,0,0,0,3,0,0
Social Media Marketing,1,0,1,0,3,2,0
BIG DATA-HADOOP,0,0,0,0,1,0,0
CG artists,0,0,0,0,1,0,0
HBase,0,0,1,0,0,0,0
Linux Server,0,0,0,0,1,0,0
Currency Trading,0,0,0,0,0,1,0
Game Development,0,0,0,0,0,1,1
Cybersecurity,0,0,0,0,0,1,0
Enterprise Resource Planning,0,0,0,0,1,0,0
Transhumanism,0,0,0,0,0,0,1
Semantic Technologies,0,0,0,1,0,0,0
Electronic Speed Controllers,0,0,0,0,1,0,0
Bitcoin Miners,0,0,0,1,1,1,0
Scrum Practices,0,0,0,0,0,0,1
Go,0,0,0,0,1,0,0
Web Programming,0,0,0,0,1,0,0
Salesforce.com Integration,0,0,1,0,0,0,0
Unmanned Vehicles,0,0,0,0,2,0,0
Backbone.js,0,0,0,1,1,0,0
Deep Reinforcement Learning,0,0,0,0,0,0,1
Oracle Database Administration,0,0,0,0,0,0,1
MySQL,0,0,0,0,5,0,1
JVM Languages,0,0,0,0,1,0,0
Joomla! Template Design,0,0,0,0,1,0,0
Bitcoin business model,0,0,0,1,0,1,0
Software Quality,0,0,0,1,1,1,0
"Network Marketing, Online Advertising",0,0,0,0,1,0,0
early stage companies in india looking for capital,0,0,1,0,0,0,0
Salesforce.com Developers,0,0,1,0,0,0,0
SQL Server,0,0,0,0,2,0,0
Stanford Machine Learning Course CS 229,0,0,0,0,0,1,0
Interior Design,0,0,0,0,1,0,0
M2M,0,0,0,0,4,0,0
HTML,0,0,0,0,0,1,0
Machine Intelligence,0,0,0,0,0,2,0
3d,0,0,0,0,1,0,0
Coders,0,0,0,0,0,0,1
Product Development,0,0,0,0,1,0,0
Big Data for social media,0,0,0,0,1,2,0
Service Design,0,0,0,0,1,0,0
Smart Sensors,0,0,0,0,3,1,0
Azure,0,0,0,0,0,0,1
Social Networking,1,1,1,0,1,2,0
Customer Relationship Management,0,0,0,0,1,0,0
Advanced Manufacturing & Engineering,0,0,0,0,1,0,0
3D Modeling,0,0,0,0,4,0,0
Cloud Computing,0,0,3,2,12,7,4
Mumbai Drupal Users,0,1,0,0,0,0,0
Technical Certification,0,0,0,0,1,0,0
New Product Development: Software & Tech,0,0,0,0,0,1,0
Learn Wordpress,0,0,0,1,0,0,0
Technology,0,2,0,3,8,5,0
Quantified Self,0,0,0,1,0,0,0
Medical Device Technology,0,0,0,1,0,0,0
WooCommerce,0,0,0,0,0,1,1
VHDL,0,0,0,0,1,0,0
RC Models,0,0,0,0,1,0,0
eMail & eCommerce Marketing,0,0,0,0,0,1,0
Getting started with Python,0,0,0,0,1,0,0
PHP Framework,0,0,0,0,4,0,0
Big Data Ingestion,0,0,0,0,0,0,2
Web Security,0,0,0,0,2,1,0
Video Game Development,0,0,0,0,0,1,0
Wireless Sensor Networks,0,0,0,0,1,0,0
Organic Search Engine Optimization,0,0,0,0,1,0,0
Apache Spark,0,0,0,0,0,1,2
Customer Experience Surveys,0,0,0,0,1,0,0
Agile Coaching,0,0,0,0,1,2,2
ReactJS,0,0,0,0,0,1,0
WordPress Workshops,0,0,0,0,1,0,0
Automation,0,0,0,0,0,1,0
User Interface Design,0,0,0,0,3,1,0
Quality Assurance,0,0,0,1,1,1,0
AngularJS,0,0,0,1,3,0,0
Email Deliverability,0,0,0,0,0,1,0
Business Applications and the Cloud,0,0,0,0,0,1,0
Computer Technology,0,0,0,0,1,0,0
Scala Programming,0,0,0,0,1,0,0
JavaScript,0,0,0,3,8,6,1
Concurrent Programming,0,0,0,0,0,1,0
Networking for Graphic Designers & Marketing Pros,0,0,0,0,1,0,0
Health Information Technology,0,0,0,0,0,1,0
Group Study,0,0,0,0,1,0,0
Blender 3D,0,0,0,0,1,0,0
Smart cities,0,0,0,0,1,0,0
change the World,0,0,0,0,1,0,0
Cisco Systems,0,0,0,0,1,0,0
WordPress SEO,0,0,0,1,1,2,0
Apple Software,0,0,0,0,1,0,0
Docker,0,0,0,0,2,1,0
Semiconductor,0,0,0,0,1,0,0
Open Source,0,1,1,4,17,13,6
UX Design,0,0,0,0,5,1,0
Linux Networking,0,0,0,0,1,0,0
Healthcare Solutions,0,0,0,0,0,1,0
Successful Startup Founders,0,0,0,0,2,1,0
Prototyping,0,0,0,1,1,0,0
Neo4j,0,1,0,1,0,0,0
cofounderslab,0,0,0,0,1,0,0
iOS Platform,0,0,0,0,1,0,0
IBM,0,0,0,1,0,2,0
Science,0,0,0,0,0,0,1
Game Programming,0,0,0,0,0,1,0
Intellectual Discussion,0,0,0,0,0,1,0
Windows Phone,0,0,0,1,0,0,0
UI/UX,0,0,0,0,2,0,0
bitcoin traders,0,0,0,1,1,1,0
Disaster recovery,0,0,0,0,0,1,0
Statistical Modeling,0,0,0,0,1,1,0
User Centered Design,0,0,0,0,1,0,0
Learning Joomla,0,0,0,0,1,0,0
Lean Startup,0,0,0,0,4,4,1
Decentralization,0,0,0,0,0,1,0
Cloud applications,0,0,0,0,0,1,0
Startup Pitching,0,0,0,0,2,2,0
DuckDuckGo,0,0,0,0,0,1,0
Marketing,0,0,0,0,1,1,0
React Native,0,0,0,0,0,1,0
Software Configuration Management,0,0,0,0,1,0,0
RC Cars,0,0,0,0,1,0,0
Artificial Intelligence Applications,0,0,0,0,0,2,2
Google SEO,0,0,0,0,2,0,0
Spark,0,0,0,0,0,1,0
AWS design implementation and servicing,0,0,0,0,1,0,0
Blogging,0,0,0,0,3,2,0
Scala Play Framework,0,0,0,0,1,0,0
Apache Kafka,0,0,0,0,0,0,2
Digital Marketing Professionals,0,0,0,0,1,0,0
"Women ""StartUp"" Entrepreneurs",0,0,0,0,1,1,0
Makerspaces,0,0,0,2,3,1,1
Usability testing,0,0,0,0,1,0,0
VR Glasses,0,0,0,0,0,0,1
Smartphone,0,0,0,0,1,0,0
Blackberry,0,0,0,0,1,0,0
3D Artists,0,0,0,0,1,0,0
Entreprenuers,0,0,0,0,1,0,0
Cognos,0,0,0,0,0,1,0
Python,0,0,0,0,3,3,2
Apple,0,0,0,0,1,0,0
Meeting People that Make a Difference,0,0,0,0,1,0,0
Digital Marketing Strategy,0,0,0,0,2,0,0
Community,0,0,0,0,1,0,0
Machine Learning,0,0,0,1,8,8,3
Functional Programming in Python,0,0,0,0,1,0,0
IT Professionals,0,0,0,0,5,0,0
WordPress,0,0,0,1,2,3,1
Linux,0,1,0,0,5,2,0
Platform Evangelism,0,0,0,0,0,1,0
Mobile App,0,0,0,0,0,1,0
Learn SEO Basics,0,0,0,0,2,0,0
Blender,0,0,0,0,1,0,0
J2EE,0,0,0,0,1,0,0
CISSP,0,0,0,0,1,0,0
entrepreneur matchmaking,0,0,0,0,1,0,0
Oracle Big Data Appliance,0,0,0,0,0,0,1
Professional Networking,1,0,1,0,3,3,0
Freelance Content Writers,0,0,0,0,0,1,0
Oracle APEX Development,0,0,0,0,0,0,1
Network Architecture,0,0,0,0,0,1,0
Microsoft Office 365 public cloud-based technology,0,0,0,0,0,1,0
WordPress Users,0,0,0,1,1,0,0
GraphLab,0,0,0,0,0,0,1
Electrical Engineering,0,0,0,0,1,0,0
Elixir Programming,0,0,0,0,0,1,0
R Users Group,0,0,0,1,0,0,0
eCommerce Marketing,0,0,0,0,2,1,0
Digital Media,0,0,0,0,1,0,0
Scaled Agile Framework (SAFe),0,0,0,0,0,0,1
Python Web Development,0,0,0,0,1,1,1
Entrepreneurs & Network Marketers Connecting,0,0,0,0,1,0,0
Rich Internet Applications,0,1,0,0,0,0,0
High Scalability Computing,0,0,1,2,1,3,1
Usability,0,0,0,1,4,0,0
FPGA,0,0,0,0,1,0,0
Experience Design,0,0,0,0,1,0,0
Startup Businesses,1,1,2,1,8,8,3
Joomla,0,0,0,0,1,0,0
Dan Kennedy Style Marketing,0,0,0,0,1,0,0
Mixed Reality,0,0,0,0,0,0,1
App Development,0,0,0,0,0,1,0
Wordpress Help,0,0,0,1,0,0,0
Aerial videography,0,0,0,0,2,0,0
Open source tools,0,0,0,0,1,0,0
Digital Marketing through Emerging Technologies,0,0,0,0,1,0,0
Smart Home,0,0,0,0,3,0,0
Internet Startup Idea Group,0,0,0,0,1,0,0
Drupal Mastering,0,1,0,0,0,0,0
Mobile Design,0,0,0,0,0,1,0
Amazon Simple Storage Service (Amazon S3),0,0,1,0,0,0,0
Zend Framework,0,0,0,0,2,0,0
Hobbies,0,0,0,0,0,1,0
Interaction Design,0,0,0,0,5,0,0
Women Entrepreneurs,0,0,1,0,2,3,1
Customer Feedback,0,0,0,0,1,0,0
Data Center and Operations Automation,0,0,0,0,3,1,0
Software QA and Testing,0,0,0,1,1,1,0
Windows Mobile,0,0,0,1,0,0,0
Science Technology Engineering Math,0,0,0,0,1,0,0
Perl,0,0,0,0,0,1,0
Mobile Game Development,0,0,0,0,0,1,0
Heroku,0,0,1,0,0,0,0
Advertising and marketing - digital and print,0,0,0,0,0,1,0
Natural Language Processing,0,0,0,0,0,0,1
Cloud Computing Security,0,0,0,0,1,0,0
C#.NET,0,0,0,0,1,0,0
indian startups,0,0,1,0,0,0,0
WordPress Training,0,0,0,1,0,1,0
JQuery,0,0,0,1,0,2,0
Kanban,0,0,0,0,0,2,1
Web Design,0,0,0,3,9,3,1
Play Framework,0,0,0,0,1,0,0
Make a difference,0,0,0,0,1,0,0
CEM,0,0,0,0,1,0,0
Apex Development,0,0,1,0,0,0,1
Ansible,0,0,0,0,1,1,0
Microsoft Access,0,0,0,0,1,0,0
Leveraging Big Data,0,0,0,0,1,2,0
Creative Design,0,0,0,0,1,0,0
Founder Institute,0,0,0,0,1,0,0
Indie Games,0,0,0,0,0,1,0
Oracle Weblogic,0,0,0,0,0,0,1
Computer Security,0,0,0,0,2,2,0
Independent Game Development,0,0,0,0,0,1,1
CSS,0,0,0,0,0,1,0
Quad Copters,0,0,0,0,1,0,0
Software Development,0,2,1,5,26,14,7
Wordpress Themes,0,0,0,1,2,1,1
Education,0,0,0,0,1,0,0
WordPress Small Business Web Sites,0,0,0,1,0,2,0
Big Data,0,0,1,3,15,13,8
ASP.NET,0,0,0,0,1,1,0
Money,0,0,0,1,0,1,0
Functional Programming,0,0,0,1,2,1,1
Bluetooth Low Energy,0,0,0,0,2,0,0
Smart City,0,0,0,0,1,0,0
Software Testing,0,0,0,1,1,1,0
Wearable Technologies,0,0,0,0,1,0,0
Hardware Hacks & Gadgeteering,0,0,0,1,0,0,0
Using MongoDB in the cloud,0,0,0,1,0,0,0
New Technology,0,1,2,3,21,11,6
Mobile User Experience,0,0,0,0,3,2,0
rapid prototyping,0,0,0,0,2,0,0
Amazon Web Services,0,0,1,1,2,0,1
Email Marketing (Ecommerce),0,0,0,0,0,1,0
Database Professionals,0,1,0,1,3,0,1
Arduino,0,0,0,1,3,1,1
Information Technology in Business,0,0,0,0,1,0,0
M2M Devices,0,0,0,0,3,0,0
Web Standards,0,0,0,1,0,0,0
ASP.NET MVC,0,0,0,0,1,1,0
Social Innovation,0,0,0,0,0,1,0
Medicine,0,0,0,0,0,1,0
co-founder,0,0,0,0,1,0,0
Mathematical Modelling,0,0,0,0,1,0,0
Hadoop Analytics,0,0,0,0,1,0,0
Explore: Agile Scrum XP Lean Kanban,0,0,0,0,0,0,1
Design Strategy,0,0,0,0,1,0,0
APIs,0,0,0,0,0,1,0
test,0,0,0,0,0,1,0
Ember JS,0,0,0,1,1,1,0
Axure RP Interactive Wireframing,0,0,0,0,1,0,0
Web Services,0,0,1,0,1,0,0
indian cofounders,0,0,1,0,0,0,0
Data,0,0,0,0,2,0,0
ITIL ITSM,0,0,0,0,1,0,0
DIY (Do It Yourself),0,0,0,1,3,2,1
Customer Satisfaction,0,0,0,0,1,0,0
Six Sigma,0,0,0,0,0,1,0
Developing Mobile Apps,0,0,0,0,0,1,0
Technology Innovation,0,0,0,0,0,1,0
Ruby On Rails,0,0,0,0,1,1,0
IOT hacking,0,0,0,0,2,0,0
Database Development,0,1,0,2,3,1,1
Computer programming,0,2,2,6,25,10,3
EC2,0,0,1,0,1,0,0
"Game Design, Game Modding, 3D Modeling",0,0,0,0,1,0,0
Oracle,0,0,0,0,0,0,1
Kx,0,0,0,0,0,1,0
Motion Graphics,0,0,0,0,2,0,0
Test Automation Frameworks,0,0,0,0,1,0,0
Affiliate Marketing,1,0,0,0,0,0,0
MongoDB,0,0,0,3,3,0,0
Statistical Computing,0,0,0,1,0,0,0
Programming Languages,0,0,0,0,6,0,0
Deep Learning,0,0,0,0,0,1,2
Agile Project Management,0,0,0,1,2,3,2
